ITEM: TIMESTEP
10000000
ITEM: NUMBER OF ATOMS
6086
ITEM: BOX BOUNDS pp pp pp
-29.5011 29.5011
-29.5011 29.5011
-29.5011 29.5011
ITEM: ATOMS id mol type x y z 
1364 7 1 -3.06697 -1.31443 -9.91888 
1375 7 2 -3.85344 -1.86679 -8.73543 
1365 7 2 -2.53991 -1.41088 -10.2816 
1376 7 2 -4.14413 -1.84541 -8.92575 
1309 7 2 -0.881274 -0.308544 -10.5287 
1330 7 2 -1.17711 -1.90891 -10.4491 
1369 7 2 -2.09963 -0.482226 -9.39089 
1231 6 2 -1.47875 -1.03023 -8.62907 
1225 6 2 -0.202676 -0.341517 -8.62408 
1366 7 2 -2.0752 -1.20256 -8.4717 
873 4 3 -4.49873 -12.7765 -7.12279 
749 4 2 -0.339597 -13.0147 -6.75405 
748 4 2 -1.6953 -12.808 -7.93354 
732 4 2 -0.980729 -12.7162 -7.19139 
747 4 3 -1.69916 -12.739 -8.28857 
876 4 2 -4.73227 -11.1266 -6.95163 
875 4 2 -5.56189 -12.4785 -8.37934 
874 4 3 -4.91161 -12.4288 -8.13547 
872 4 3 -4.38457 -12.1352 -7.61052 
862 4 2 -4.25548 -12.0235 -6.41372 
871 4 3 -3.52903 -12.2378 -7.33843 
870 4 3 -3.69812 -11.8192 -6.70941 
744 4 3 -2.18455 -11.9576 -6.57142 
745 4 2 -1.86352 -11.0585 -7.54447 
746 4 3 -1.9504 -11.7813 -7.36803 
734 4 2 -0.471293 -12.2117 -6.94369 
733 4 3 -0.166054 -12.0613 -7.18118 
731 4 5 -0.891993 -11.65 -7.79806 
827 4 3 -11.2372 -8.67003 -6.45947 
826 4 3 -11.2802 -9.02936 -7.69312 
410 2 2 -8.77979 -8.53931 -8.35482 
4022 28 2 -4.88661 -8.91411 -7.24096 
880 4 3 -5.91751 -10.1229 -8.41927 
4021 28 2 -3.63993 -8.49084 -8.22016 
2388 15 2 -2.98053 -8.86321 -8.36076 
3304 25 2 -2.25348 -9.08395 -6.88947 
3305 25 3 -1.95935 -10.1243 -7.06544 
3307 25 3 -1.09944 -9.79847 -7.61569 
3308 25 2 -0.207021 -9.55611 -7.18193 
3306 25 3 -2.00374 -9.49847 -6.72622 
3969 28 2 -11.6882 -7.09194 -6.45536 
407 2 3 -8.85948 -6.8952 -8.24238 
411 2 3 -10.2914 -7.12104 -8.18125 
817 4 3 -6.43906 -7.61479 -8.37739 
403 2 2 -6.95879 -6.42218 -6.41388 
816 4 3 -5.27526 -6.32817 -8.22917 
807 4 3 -4.9721 -6.59664 -8.23104 
805 4 2 -4.60571 -7.04518 -7.05772 
4020 28 2 -3.6552 -8.30993 -6.80285 
804 4 3 -2.87482 -7.05585 -7.44097 
2389 15 1 -2.87504 -6.7237 -8.19282 
4014 28 2 -2.42333 -7.66472 -7.70141 
4015 28 2 -2.15093 -7.70503 -7.83352 
313 2 2 -2.20059 -6.60711 -6.77298 
3298 25 3 -1.01071 -6.80574 -7.94908 
4016 28 3 -1.30577 -7.7605 -7.20272 
803 4 3 -0.819375 -8.17478 -6.4728 
2386 15 2 -1.34761 -8.37797 -8.1574 
3204 24 4 -13.2711 -5.27951 -7.00222 
412 2 2 -10.6298 -5.48016 -7.91038 
696 4 2 -10.7675 -4.5975 -6.36617 
3973 28 3 -11.7153 -4.33533 -7.08499 
413 2 3 -10.251 -4.98158 -7.58291 
697 4 3 -9.56974 -5.07051 -7.35354 
3987 28 2 -9.20708 -5.52636 -7.18743 
405 2 3 -8.21393 -6.12609 -8.38321 
698 4 2 -7.04273 -5.51484 -8.27139 
404 2 3 -8.01155 -5.88632 -7.3009 
806 4 2 -5.59084 -6.23864 -7.99101 
4028 28 2 -2.24914 -4.96987 -7.95734 
4047 28 3 -2.45396 -4.26933 -8.04334 
312 2 2 -3.79435 -5.188 -7.401 
4031 28 3 -1.90408 -5.57591 -7.37222 
3297 25 3 -1.35805 -6.31739 -8.1146 
3299 25 3 -0.788045 -6.07024 -7.6809 
3296 25 2 -1.50756 -5.64787 -8.0541 
3975 28 3 -11.2328 -2.94363 -6.62011 
694 4 2 -12.4172 -3.27936 -8.20456 
3974 28 3 -11.183 -3.2085 -7.16101 
3111 24 2 -11.0726 -2.37026 -7.49249 
695 4 3 -9.80565 -3.37369 -6.63205 
693 4 2 -9.60724 -3.49181 -7.36734 
3986 28 2 -7.93495 -3.65958 -8.18618 
3984 28 3 -7.44162 -3.31652 -7.91673 
393 2 3 -6.51604 -2.83693 -6.94475 
395 2 3 -7.31967 -2.83074 -6.43407 
1803 10 4 -4.46919 -3.08606 -7.15373 
417 2 3 -5.46696 -3.74972 -6.39027 
419 2 3 -5.05378 -4.10583 -6.34322 
1813 10 3 -5.49447 -3.06923 -7.41822 
1807 10 2 -2.11503 -2.57479 -6.82805 
4048 28 2 -2.12607 -3.54171 -7.66083 
4049 28 3 -2.06217 -3.27855 -6.9616 
4050 28 3 -0.918319 -3.96685 -7.53835 
4051 28 2 -1.38701 -2.54214 -8.31885 
4052 28 2 -0.434213 -2.42118 -8.02408 
3113 24 3 -11.7354 -1.35519 -6.63537 
3114 24 2 -11.1495 -0.441981 -7.03364 
3112 24 2 -11.6097 -0.351629 -7.43066 
3115 24 2 -11.1222 -0.382409 -8.18442 
3977 28 3 -9.27382 -1.77647 -7.39389 
383 2 2 -8.74194 -1.18625 -7.99212 
384 2 3 -9.84891 -0.0674236 -7.42567 
3982 28 2 -7.09005 -1.12651 -7.59018 
3981 28 6 -7.40509 -2.02115 -7.90864 
3980 28 2 -7.40751 -0.868715 -7.28768 
386 2 5 -8.09471 -1.65402 -7.81594 
392 2 3 -7.90529 -1.33478 -7.32191 
388 2 3 -6.92188 -0.986474 -7.99572 
391 2 3 -8.12211 -1.22417 -8.12643 
389 2 3 -6.41413 -0.313195 -7.38552 
394 2 2 -5.43369 -1.48817 -6.96298 
1804 10 2 -5.59916 -1.52538 -6.79203 
1371 7 2 -5.70993 -0.186214 -6.53403 
1373 7 1 -4.92943 -0.322934 -7.86014 
1812 10 2 -5.11961 -1.38624 -7.86805 
1374 7 2 -4.49075 -0.932488 -7.55228 
1372 7 3 -4.92063 -0.729826 -7.24806 
1808 10 2 -2.13594 -0.920768 -6.81083 
1810 10 3 -2.69223 -0.863437 -6.68633 
1806 10 3 -2.31196 -1.68971 -6.61247 
1377 7 2 -3.35943 -1.52753 -8.00633 
1367 7 2 -1.14159 -0.752156 -7.34431 
1368 7 5 -1.01744 -0.731383 -7.13181 
280 2 2 -0.45482 -0.174667 -7.11304 
860 4 3 -5.72011 -13.0985 -6.28996 
861 4 3 -6.07354 -12.9067 -5.85463 
742 4 3 -2.87396 -13.2167 -6.10284 
739 4 2 -2.78861 -12.9777 -4.5536 
736 4 3 -1.07589 -13.2356 -5.28073 
737 4 3 -1.76857 -12.7914 -5.53469 
738 4 2 -1.40853 -14.019 -5.94573 
1898 11 3 -0.196707 -14.2322 -4.89159 
1899 11 3 -0.0405938 -13.4676 -5.06521 
1901 11 2 -2.04889 -14.1896 -4.59168 
3995 28 2 -9.957 -11.2166 -5.23618 
3996 28 2 -8.20995 -12.4074 -4.5534 
3998 28 2 -6.52832 -10.9577 -4.57757 
864 4 3 -4.67905 -11.1168 -4.82115 
865 4 3 -4.81565 -10.8966 -5.27594 
859 4 3 -4.27175 -11.7798 -5.4704 
863 4 3 -4.9995 -10.9135 -5.0489 
868 4 3 -3.24883 -11.0749 -5.52861 
869 4 3 -3.85543 -10.868 -6.21703 
743 4 3 -3.40354 -12.4701 -5.93237 
740 4 2 -2.19915 -11.5484 -5.01878 
867 4 3 -3.68712 -10.571 -5.87672 
795 4 2 -0.00981531 -10.5974 -5.50834 
741 4 3 -1.90079 -11.4586 -4.294 
735 4 3 -0.550804 -11.806 -5.53178 
830 4 3 -10.7624 -8.84014 -4.38458 
829 4 3 -10.663 -8.68157 -5.36037 
3994 28 2 -10.1186 -9.98268 -5.40232 
3993 28 3 -10.4955 -10.1879 -5.95056 
4000 28 2 -8.5804 -8.87378 -4.63186 
3999 28 2 -6.43119 -9.62734 -4.34148 
3243 24 3 -6.72981 -8.44067 -5.69107 
4794 33 6 -4.35312 -9.40524 -4.22077 
4018 28 3 -2.79164 -8.42916 -5.16416 
866 4 2 -3.8671 -10.3914 -5.71758 
4017 28 3 -2.78824 -8.66925 -5.92516 
858 4 2 -3.12583 -9.28406 -4.5658 
4798 33 2 -1.40291 -10.2028 -4.42129 
3292 24 2 -13.6271 -7.15903 -4.44262 
3968 28 3 -11.6971 -6.95241 -4.73453 
3290 24 2 -12.3643 -6.50815 -5.05793 
3252 24 3 -10.8447 -7.74051 -4.67585 
828 4 3 -10.2658 -8.00465 -6.04541 
3992 28 3 -9.51363 -7.94018 -5.32607 
3206 24 2 -9.45368 -7.46968 -5.61947 
3246 24 2 -6.37505 -6.98796 -4.7353 
3245 24 2 -5.75266 -7.59848 -4.87364 
3244 24 2 -5.11535 -8.1684 -4.85576 
429 2 2 -4.30783 -6.80685 -4.45438 
4019 28 2 -3.57287 -8.37523 -5.91596 
4013 28 2 -2.41591 -7.25348 -5.9075 
3312 25 3 -0.0230066 -7.91712 -5.46144 
3288 24 2 -13.1127 -4.23639 -4.8382 
3203 24 2 -14.4721 -5.37362 -5.21672 
3205 24 1 -11.4417 -5.64534 -5.77394 
3972 28 3 -11.9475 -4.85745 -6.29121 
3971 28 3 -12.1643 -5.06856 -5.91851 
3970 28 3 -11.7928 -5.73021 -6.12376 
3990 28 2 -11.4108 -6.1067 -4.54091 
414 2 3 -8.72369 -5.6823 -5.93272 
4090 28 3 -9.20319 -4.22765 -4.58132 
3988 28 3 -8.91428 -5.60496 -6.05773 
3989 28 3 -10.5153 -6.15641 -5.64922 
4088 28 2 -9.94528 -5.21358 -4.7693 
4091 28 4 -8.71538 -5.08194 -5.27402 
3249 24 2 -7.49335 -4.46241 -4.35727 
415 2 2 -7.86899 -4.98016 -5.65684 
399 2 3 -6.98223 -5.99076 -4.95286 
418 2 3 -5.43115 -4.36065 -6.21459 
428 2 2 -4.46311 -4.92532 -4.75213 
420 2 2 -4.94286 -4.23345 -5.68192 
400 2 2 -5.69891 -5.90175 -6.01906 
401 2 3 -5.34435 -5.40885 -6.14783 
402 2 2 -6.11674 -5.57264 -5.8809 
422 2 2 -2.27593 -4.86607 -6.11223 
421 2 2 -3.24938 -5.04934 -5.63423 
311 2 2 -1.88989 -6.11242 -6.164 
4784 33 2 -1.78248 -6.04023 -5.81586 
4785 33 3 -2.04956 -4.44746 -5.3346 
3300 25 2 -1.90235 -5.94572 -5.70391 
3939 28 3 -13.6914 -4.10385 -4.25198 
3976 28 2 -10.9056 -3.66343 -5.61138 
3280 24 2 -12.0425 -2.31841 -4.24878 
3287 24 2 -11.5931 -3.46625 -4.31056 
3285 24 3 -10.6907 -2.71168 -5.49711 
4089 28 3 -9.09006 -3.55106 -4.59348 
3286 24 3 -9.66641 -3.3163 -4.54486 
3110 24 3 -9.35047 -2.60391 -5.56498 
396 2 3 -7.7714 -2.67344 -5.59803 
397 2 3 -7.30374 -3.92488 -5.30234 
416 2 3 -6.45954 -3.95005 -6.15325 
692 4 2 -5.66785 -2.22781 -4.95563 
398 2 2 -5.64158 -3.69915 -4.82558 
427 2 2 -3.35538 -3.8916 -5.53426 
426 2 2 -3.40928 -3.8322 -4.40233 
4076 28 2 -3.72305 -2.34466 -4.53636 
298 2 2 -0.110521 -3.26894 -4.87909 
423 2 2 -1.94677 -3.89982 -4.33154 
4777 33 3 -1.30847 -2.39586 -4.30441 
4786 33 2 -1.2916 -3.73966 -5.45557 
299 2 3 -0.241264 -3.15125 -6.31446 
3160 24 2 -13.0624 -1.06359 -4.85216 
3283 24 3 -11.027 -1.55899 -5.34618 
3284 24 3 -10.5965 -1.58877 -5.28379 
3271 24 3 -10.9838 -0.355122 -4.49139 
3281 24 2 -10.3439 -1.70618 -5.43185 
3282 24 3 -10.4902 -1.03671 -5.10615 
3270 24 2 -9.6781 -1.73814 -4.36552 
3983 28 3 -7.59784 -1.64581 -6.27453 
4081 28 3 -7.27894 -1.30298 -4.53967 
4080 28 2 -6.94613 -1.22616 -4.51997 
1811 10 3 -4.26185 -1.01648 -6.08577 
1805 10 2 -4.01097 -0.919371 -5.14302 
1809 10 3 -2.08369 -1.30406 -5.9074 
258 2 2 -0.809564 -0.533172 -5.70231 
4776 33 3 -0.540699 -2.06442 -5.04887 
261 2 2 -0.409064 -0.375223 -4.32155 
5731 42 4 -1.65388 -0.98616 -4.86354 
5726 42 1 -0.825067 -1.45534 -4.2312 
1859 11 2 -4.86224 -15.0573 -2.2582 
1905 11 3 -1.08454 -14.9103 -2.91134 
843 4 3 -6.92416 -13.2266 -2.20904 
844 4 5 -6.49131 -13.1543 -3.70723 
1861 11 5 -4.25448 -14.3023 -2.19723 
1855 11 3 -5.51715 -13.8411 -2.50159 
1854 11 3 -5.63412 -12.6728 -2.26699 
1862 11 5 -2.13664 -14.4502 -3.88076 
1897 11 5 -1.09513 -14.2813 -3.70571 
1865 11 3 -0.204055 -13.1526 -2.41586 
1863 11 3 -0.774554 -12.666 -3.0093 
1864 11 3 -0.166817 -13.1605 -2.57593 
1896 11 3 -0.735314 -12.6538 -4.00348 
1834 11 3 -1.28863 -13.742 -3.19678 
1904 11 3 -0.468421 -14.1823 -2.79732 
1902 11 3 -1.97202 -13.7545 -3.22676 
1903 11 2 -0.973675 -13.8832 -2.87076 
3234 24 3 -9.82281 -11.4478 -2.16949 
3230 24 2 -9.26412 -10.9092 -3.0172 
847 4 2 -4.89333 -11.0978 -3.49045 
850 4 3 -4.96679 -11.0188 -3.16193 
849 4 3 -3.40886 -10.9774 -2.31312 
4801 33 3 -0.692115 -10.8003 -2.14406 
1833 11 6 -1.56954 -12.2012 -3.00165 
1832 11 2 -0.357788 -11.9465 -3.43596 
4800 33 2 -0.49393 -11.2136 -3.12011 
3948 28 3 -13.332 -8.45062 -3.07561 
3966 28 5 -12.4024 -8.69664 -2.80033 
3965 28 3 -12.1627 -8.61415 -2.28175 
831 4 3 -10.7962 -8.73436 -3.53488 
3949 28 3 -11.9994 -9.0342 -2.87619 
3950 28 3 -11.5658 -9.50823 -2.36923 
3951 28 3 -11.4398 -9.39705 -2.11183 
3242 24 2 -9.0475 -9.21439 -3.87674 
4001 28 2 -9.59743 -9.28402 -3.33911 
3229 24 2 -9.07505 -9.92014 -4.16367 
3253 24 2 -8.44408 -8.60897 -3.70857 
3232 24 3 -9.447 -9.68562 -2.73158 
3254 24 3 -9.371 -9.11627 -3.74336 
3997 28 2 -7.68792 -10.073 -3.71461 
3228 24 2 -8.05066 -9.92965 -2.52192 
3231 24 3 -8.41558 -10.0851 -3.69036 
3226 24 2 -6.83495 -9.48834 -2.15949 
846 4 2 -5.59109 -9.86733 -2.60305 
